"y";"c";"ncomp";"nperc";"area3";"sex";"anasc";"eta";"yearedu"
14980,624013;19800;3;1;1;1;1937;77;18
56151,64866;53704;3;3;3;1;1952;62;13
7980,9958446;12410;1;1;3;2;1933;81;0
20412,461957;11700;3;1;1;1;1935;79;5
34618,326408;27600;3;2;1;1;1956;58;13
39269,097427;19550;4;2;3;2;1959;55;13
15620,03028;11400;1;1;3;2;1929;85;5
23487,698054;13800;2;1;3;1;1938;76;18
10790;8400;1;1;1;2;1936;78;5
10561,04;24600;1;1;2;1;1941;73;11
80286,69386;54400;3;2;3;1;1956;58;21
13600,890029;16500;1;1;3;2;1946;68;8
27376,318097;29000;2;2;3;1;1933;81;8
55460,57821;26800;4;4;3;2;1964;50;8
18800;31800;4;2;3;2;1965;49;8
44209,958446;22600;3;1;2;1;1948;66;8
14600;15400;4;1;3;2;1949;65;13
54340,318097;39800;2;2;3;2;1944;70;18
30600;28800;2;1;3;1;1942;72;13
20647,280698;16200;2;1;3;1;1942;72;8
16140;19240;5;2;1;2;1939;75;5
21300,463284;19200;2;1;3;2;1960;54;13
25236,652815;19800;1;1;2;2;1944;70;5
28364,278764;20300;2;2;2;2;1945;69;5
